Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
India,0.8618140166092989,0.024582468169016325,0.04663435480741129,0.0,-0.8693134642046466,-0.5013106251219811,0.3173056859320647,46,76,110,54,93,154,146
Indonesia,0.8456962524083722,0.009799283718741059,0.013322624507711156,0.0,-0.9905235193357559,-0.9842448578337762,0.3413631735513305,48,54,66,53,15,22,140
International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,38,45,52,201,211,234
Iran,1.9608520785601753,0.09493488501961678,0.07807154482346301,0.0,-0.8238872797957921,-0.42067388876832823,0.5448549055637175,21,131,130,51,104,158,98
Iraq,0.5770878207218109,0.03887030569015271,0.07008086253369261,0.0,-0.909482957424915,-0.40533371414291175,0.1123009927961225,75,97,126,50,77,161,188
Ireland,0.02657020850392855,0.46208826154303817,0.07677652886264053,-0.9999985361626954,-0.705639433932615,-0.9298983285446013,0.7610682445417372,205,217,128,233,133,64,23
Isle of Man,0.015142973472391796,0.0,0.0,0.0,0.0,0.0,0.7589860672052453,212,7,2,49,205,208,24
Israel,0.021725743425322852,0.04791852867453117,0.05604947816003092,-0.9999999954779054,-0.9505125321553878,-0.9353798492087022,0.6216336239371435,208,103,117,237,50,60,72
Italy,0.07311566555079652,0.0762339334232951,0.022204230031851235,0.0,-0.8912946029114657,-0.9532030723013597,0.7296176777059288,176,118,85,48,86,51,30
Jamaica,1.0035454280147968,0.08970944743661713,0.27982878544676293,0.0,-0.9564292661011174,-0.7125568258335973,0.17085505044288443,39,125,198,47,41,125,176
Japan,0.28566780414850346,0.012646973265645123,0.04011558728539866,0.0,-0.9875426227436519,-0.9753547447571056,0.7721542432782416,115,57,105,46,20,32,17
Jersey,0.014659827213822973,0.0,0.0,0.0,0.0,0.0,0.7436803102707944,213,9,6,45,187,201,28
Jordan,0.1369988421956445,0.1578116295412535,0.08303788020153013,0.0,-0.8534308744709684,-0.8947198304587743,0.36416038450399657,148,164,134,43,98,80,135
Kazakhstan,0.23116581877494746,0.09568548110697295,0.1218331552146854,0.0,-0.8000380566621117,-0.8941133911839487,0.4242332623215066,125,132,158,31,111,81,125
Kenya,1.9942104355821169,0.022667318809785453,0.041382002732773815,0.0,-0.9418498872937691,-0.8569193694332665,0.049275955411099415,20,71,106,42,57,92,200
Kiribati,1.2004925394755905,0.0,0.0,0.0,0.0,0.0,0.12513592776880747,34,10,9,41,202,210,184
Kosovo,0.43326132526240246,0.006365885351591771,0.010497798848628559,0.0,-0.9914405226379102,-0.9738144792764546,0.42702238632187034,86,50,59,40,14,33,124
Kuwait,0.0,0.004146676221593371,0.006533278889342631,0.0,-0.9923401526987277,-0.9838995185154459,0.21330615565987063,232,43,52,39,13,23,170
Kyrgyzstan,0.43202437307777597,0.02699235991306881,0.05331799002685078,0.0,-0.7085156059174287,-0.5017525759559811,0.1344507159929919,87,78,114,38,132,153,182
Laos,0.4896417364620105,2.0922586597332886,8.444444444444445,0.0,9.722825631133107,0.0,0.41995563841732575,80,236,236,37,233,171,126
Latvia,0.3840105415757926,0.6024852960686331,0.5380934854619066,0.0,-0.5990162783255281,-0.7296761366548175,0.6346057225375937,97,227,222,36,148,122,68
Lebanon,0.2875797806496809,0.07437322781667022,0.048048048048048075,0.0,-0.9529483962243973,-0.9852004753389563,0.24816524258359726,114,116,112,35,44,20,159
Lesotho,0.80883673004956,0.5129558874609239,0.6426799007444168,0.0,-0.7915021655538494,-0.8758459282652831,0.26506217732011095,50,221,226,114,113,88,153
Liberia,178.63139260424862,0.004311088118641226,0.0034965034965035446,0.0,-0.9693282268238964,-0.8548951048951033,0.08814761878287512,1,44,47,33,33,94,191
Libya,2.195581247244403,0.09571752861057847,0.17308105783702432,0.0,-0.8364303575923147,-0.7848496186012431,0.09374296727272309,18,133,175,32,102,112,189
Liechtenstein,0.08736342663126284,0.3151532190047792,0.051724137931034475,0.0,0.3157054500180727,-0.8103448275862069,0.6530036074658859,169,193,113,113,222,107,57
Lithuania,0.08112849700441238,0.4179140926728231,0.34928900460644896,0.0,-0.2000836655874736,-0.6471748862355555,0.6614060498270915,173,207,206,58,175,135,51
Low income,1.27466755806234,0.0554118696689585,0.0875604216411392,0.0,-0.9192555844055401,-0.8511762817809398,0.030016308826064004,33,106,138,115,73,96,208
Lower middle income,0.883313772987524,0.06493905714805503,0.0905817391641035,0.0,-0.800596851336256,-0.674641800367326,0.27349540948064366,44,110,141,142,109,132,149
Luxembourg,10.051342999762301,0.14014497756299615,0.0479041916167664,0.0,-0.5728095400547406,-0.9055275902378511,0.659148979071035,5,157,111,199,151,75,52
Macao,0.38918532726582256,0.0,0.0,0.0,0.0,0.0,0.6556225707824074,95,21,22,198,216,185,56
Madagascar,1.624517960050262,0.03338150962748854,0.009394572025052117,0.0,-0.9119010635367503,-0.9843822719838305,0.017045918447572975,26,94,57,197,76,21,217
Malawi,0.20874717446400437,0.005456316986034437,0.010517090271691565,0.0,-0.9986680905251014,-0.997858049502856,0.030536988054722592,129,47,60,196,4,8,207
Malaysia,0.21605751448547172,0.17236846499635972,0.15530662616290103,0.0,-0.9162142017753941,-0.9086773771251855,0.7675555689121327,126,170,171,195,75,74,18
Maldives,0.06972113314147177,0.08066360881510226,0.08225108225108224,0.0,-0.8924928050310635,-0.7922077922077921,0.6680217799197969,179,120,133,194,85,111,47
Mali,0.3833726613491164,0.14554175701425853,0.1058394160583942,0.0,-0.6504434087970552,-0.7545620437956204,0.015376162438666718,99,158,150,193,141,118,220
Malta,0.02781920371810709,0.06153597674230804,0.024070021881838155,0.0,-0.9516538183832804,-0.9695298566929332,0.8372892850222825,203,108,93,192,47,35,8
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,3,17,191,215,198,233
Mauritania,0.1829852156035865,0.08981404385234537,0.07354838709677414,0.0,-0.6296040982213353,-0.7497912713472488,0.14110941946887087,137,126,127,190,144,119,180
Mauritius,0.1441147746186331,0.34055431666135716,1.8571428571428572,0.0,-0.641772205827275,8.285714285714288,0.718482709662423,145,198,232,189,142,229,35
Mexico,0.42566405964997545,0.06013362178011539,0.05925255939489804,0.0,-0.8944919589380176,-0.9036938265985306,0.4987717160048401,89,107,118,187,81,76,108
Micronesia (country),0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,20,20,175,198,187,236
Moldova,0.19054148247920044,0.2356789586673551,0.3455806404013575,0.0,-0.6004523906174095,-0.4776920447604799,0.23217574443498737,135,183,204,186,147,157,162
Monaco,0.0,0.12794206397103203,0.09090909090909083,0.0,-0.9207718995225386,-0.9890909090909091,0.5897773279352226,226,152,142,185,71,17,82
Mongolia,0.009673333095447711,0.2565014930085108,0.5700861393891934,0.0,-0.9589382205130057,-0.9185591229444009,0.6459287618171126,214,186,224,184,38,68,62
Montenegro,0.2035306726597137,0.19678476642407916,0.1996879875195008,0.0,-0.7790539055255278,-0.7699540414048994,0.4058730899242259,132,175,182,183,116,114,128
Montserrat,0.02089337175792516,0.0,0.0,0.0,0.0,0.0,0.28448102790604296,209,19,23,182,185,184,148
Morocco,0.20969736280923135,0.018054360279121218,0.035676736524847596,0.0,-0.8606539319895248,-0.815678510877221,0.6086654611258059,128,67,101,181,95,106,75
Mozambique,1.1392014559718455,0.0054736171652634,0.012519561815336422,0.0,-0.9979148870753246,-0.9965874429206144,0.11577551192680917,37,48,63,180,6,11,186
Myanmar,1.8093785173193542,0.1256820003620096,0.07719199323371861,0.0,-0.1202118790655321,-0.6049066300518446,0.19118890857488743,22,150,129,179,177,142,173
Namibia,0.756415454328643,0.012524590677879699,0.017658786670464277,0.0,-0.9851544100693574,-0.9886161909828768,0.1138565262292142,54,56,74,178,22,18,187
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.6668812655200956,225,16,21,177,217,174,49
Nepal,0.2711613907034016,0.033085511677720225,0.03511450381679393,0.0,-0.4842155572725442,-0.9444867810187653,0.26925733919417477,119,93,100,176,158,54,152
Netherlands,0.0416124681286274,0.3149891571051455,0.06882264313387854,0.0,-0.47436220170971755,-0.8464018276301413,0.7373956026794007,194,192,125,201,159,97,29
New Caledonia,1.0272987984172506,0.0,0.0,0.0,0.0,0.0,0.581291179909582,38,15,18,200,186,197,85
New Zealand,0.8693966487517104,1.7315936626281454,0.6296296296296295,0.0,10.043379051923452,14.740740740740724,0.7035866552141491,45,233,225,188,234,230,38
Nicaragua,6.655008421332178,0.1942137320044297,0.03921568627450989,0.0,0.8608814955606687,-0.5022624434389134,0.32685334565532626,8,174,103,208,227,152,143
Niger,2.6304672415006136,0.16627829560585883,0.2885572139303483,0.0,-0.6707134825397683,-0.6340249969663876,0.018479826157612907,16,167,199,220,138,137,216
Nigeria,0.8089191340149118,0.04101001559925943,0.0940830576993752,0.0,-0.9522771845730259,-0.8420923680019602,0.01663293893288075,49,99,145,219,46,99,218
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.7125154894671624,220,14,14,218,182,195,36
North America,0.15440794551983283,0.11041181998859906,0.10027449511161479,-0.9999274581338883,-0.7883357516184539,-0.824613891292687,0.5466405405145773,143,140,148,224,114,104,96
North Macedonia,0.08708756236022697,0.12631133494942737,0.13692261547690454,0.0,-0.7745829732507907,-0.7318330934752018,0.3792768002089634,170,151,164,217,118,120,132
Northern Cyprus,0.23682677398248653,0.0,0.0,0.0,0.0,0.0,0.0,123,22,13,216,197,196,235
Norway,0.04350436812329006,0.41393436132417616,0.22415795586527287,0.0,-0.5588776124923581,-0.5876250263406795,0.6995000941337218,192,206,187,214,153,144,39
Oceania,0.6735870293727673,0.7023189389130864,0.5045620437956204,0.0,2.412286731483147,8.169444834362725,0.5485165254919059,60,228,218,212,231,228,94
Oman,0.3791163671615183,0.002584200494454736,0.004150390625,0.0,-0.9890277695918125,-0.9652433768331006,0.5414459920174232,100,41,49,210,16,37,100
Pakistan,0.7272211038574288,0.031058820509282548,0.034263091596185014,0.0,-0.9214907238390755,-0.919921630665416,0.2228424326012998,57,88,99,209,68,67,164
Palau,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,218,226,12,207,211,202,237
Palestine,4.9092749785842225,0.13954611657699978,0.1703269887750123,0.0,-0.8154469877805031,-0.8056578775183234,0.26152054585739787,10,156,174,206,105,109,154
Panama,0.08778474958613436,0.02275466535934556,0.018954067515218664,0.0,-0.9481288380484857,-0.9635596273679687,0.5541241601494254,168,72,77,205,53,41,92
Papua New Guinea,3.021897324399876,0.7397260273972603,1.3842794759825328,0.0,-0.8892753211725459,-0.7557153865913178,0.019879690821531515,15,230,231,204,87,117,214
Paraguay,0.39969812024394713,0.006720047307741561,0.016915668601061862,0.0,-0.9932045894409598,-0.9803172621524682,0.3618275479348627,94,51,71,203,12,28,136
Peru,0.599244852103483,0.028063191138713917,0.009073718318477919,0.0,-0.946618727560139,-0.9832262550371282,0.5401348614776368,72,81,56,223,55,25,102
Philippines,0.6704581313935376,0.11089089030990995,0.2676920666422937,0.0,-0.8075960419879764,-0.3894533767477515,0.3212946132404765,61,141,196,211,106,162,144
Pitcairn,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219,8,8,213,203,200,2
Poland,0.05226205526923744,0.21774149994960568,0.10486450760079302,0.0,-0.725420754400889,-0.8777387142202016,0.5402099637537371,189,179,149,215,128,87,101
Portugal,0.028626800029224908,0.07291829354172297,0.02592489568845613,0.0,-0.9260748991879482,-0.9819918195911811,0.8778495863904555,202,114,95,221,67,26,5
Qatar,0.0,0.028752170991747095,0.008250825082508184,0.0,-0.8855372332569347,-0.9560553881475108,0.7569608711616079,217,82,55,222,91,49,25
