Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
Tonga,0.6034501583142264,0.0,0.0,0.0,0.0,0.0,0.41268651823265484,71,33,37,166,194,178,127
Trinidad and Tobago,0.28924320547417115,0.4072649825474768,0.45614035087719307,0.0,2.324137700016503,2.8619883040935674,0.457543748138415,113,204,214,165,230,226,116
Tunisia,0.3475809172105986,0.014680637452452627,0.019405383688228195,0.0,-0.9822188417701017,-0.9780610314008329,0.42973461941774316,103,62,79,164,25,30,122
Turkey,0.13283002171946,0.22973285024964918,0.19964405033253185,0.0,-0.542276781711286,-0.6087868416860363,0.592749744081611,150,182,181,163,154,139,80
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.5240792927938244,228,32,36,162,195,180,104
Turks and Caicos Islands,0.08845474967907574,0.0,0.0,0.0,0.0,0.0,0.69170958038036,167,31,34,161,192,181,41
Tuvalu,0.2648323301805675,0.0,0.0,0.0,0.0,0.0,0.49341719077568136,120,29,32,160,189,182,109
Uganda,1.1973857121539595,0.03219175865082713,0.03041825095057038,0.0,-0.799386839028928,-0.9091073691834146,0.019374247682150656,35,90,98,159,112,73,215
Ukraine,0.9565458241578031,0.42368474966062064,0.5216405468489496,0.0,-0.2781803235153635,-0.3372157242968964,0.2563636927493802,43,209,219,158,171,165,155
United Arab Emirates,0.07077973831153894,0.00821883933521006,0.023843586075345646,0.0,-0.9932653491088232,-0.9807350735695577,0.8840138751724913,178,52,92,157,11,27,4
United Kingdom,0.032052701101371595,0.31130713637256635,0.06108301773895786,0.0,-0.5830465349841083,-0.9156797117736194,0.6794167687552357,199,191,121,156,150,71,43
