Country name,Top exported products,Top export partners,Top imported products,Top import partners
Peru,"['Ores, slag & ash', 'Natural pearls & precious stones', 'Mineral fuels & oils', 'Edible fruits & nuts', 'Copper']","['China', 'USA', 'Switzerland', 'South Korea', 'India']","['Mineral fuels & oils', 'Machinery & mechanical appliances', 'Electrical machinery and equipment', 'Vehicles', 'Plastics']","['China', 'USA', 'Brazil', 'Mexico', 'Ecuador']"
Philippines,"['Electrical Machinery & Equipment', 'Machinery & mechanical appliances', 'Optical & photographic', 'Copper', 'Edible fruits & nuts']","['Japan', 'USA', 'Hong Kong', 'China', 'South Korea']","['Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Mineral fuels and oils', 'Vehicles', 'Iron & steel']","['China', 'Japan', 'South Korea', 'USA', 'Thailand']"
Russia,"['Mineral fuels & oils', 'Iron & steel', 'Natural pearls & precious stones', 'Machinery & mechanical appliances', 'Wood']","['China', 'Netherlands', 'Germany', 'Belarus', 'Turkey']","['Electrical machinery and equipment', 'Machinery & mechanical appliances', 'Vehicles', 'Pharmaceutical products', 'Plastics']","['China', 'Germany', 'USA', 'Belarus', 'Italy']"
South Korea,[],[],"['Mineral fuels and oils', 'Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Optical & photographic', 'Iron & Steel']","['China', 'Japan', 'USA', 'Germany', 'Saudi Arabia']"
Sri Lanka,"['Knitted apparel', 'Not knitted apparel', 'Coffee, tea, mate & species', 'Rubber', 'Mineral fuels & oils']","['India', 'USA', 'United Kingdom', 'Germany', 'Italy']","['Mineral fuels and oils', 'Machinery and mechanical appliances', 'Vehicles', 'Electrical machinery and equipment', 'Knitted or crotched fabrics']","['India', 'China', 'UAE', 'Singapore', 'Japan']"
Uganda,"['Mineral fuels and oils', 'Ores, slag and ash', 'Natural pearls and precious stones', 'Residues and waste from food industries', 'Tin and articles thereof']","['Brazil', 'Argentin', 'India', 'USA', 'Korea']","['Machinery and mechanical appliances', 'Vehicles', 'Mineral fuels and oils', 'Electrical machinery', 'Plastics']","['Brazil', 'Chile', 'China', 'Peru', 'Argentina']"
UK,[],[],"['Machinery and mechanical appliances', 'Vehicles', 'Electrical machinery and equipment', 'Mineral fuels and oils', 'Natural pearls & precious stones']","['Germany', 'China', 'USA', 'Netherlands', 'France']"
Ukraine,"['Iron & Steel', 'Cereals', 'Animal/vegetable fats & oils', 'Ores, slag & ash', 'Electrical Machinery& Equipment']","['India', 'Russia', 'Poland', 'Turkey', 'Italy']","['Mineral fuels and oils', 'Machinery and mechanical appliances', 'Electrical machinery & Equipment', 'Plastics', 'Vehicles']","['Russia', 'China', 'Germany', 'Poland', 'Belarus']"
Uruguay,"['Meat & Edible meat offal', 'Oilseeds & oleaginous fruits', 'Wood', 'Dairy Products', 'Cereals']","['China', 'Brazil', 'USA', 'Argentina', 'Netherlands']","['Mineral fuels & oils', 'Vehicles', 'Electrical machinery and equipment', 'mechanical appliances & Mechanical Appliances', 'Plastics']","['Brazil', 'China', 'Argentina', 'USA', 'Uruguay']"
USA,[],[],"['Electrical machinery and equipment', 'Machinery & mechanical appliances', 'Vehicles', 'Mineral fuels & oils', 'Pharmaceutical Products']","['China', 'Mexico', 'Canada', 'Japan', 'Germany']"
Venezuela,"['Mineral fuels & oils', 'Organic chemicals', 'Iron & steel', 'Ores, slag & ash', 'Aluminum']","['India', 'USA', 'China', 'Singapore', 'Spain']","['Mineral fuels and oils', 'Machinery and mechanical Appliances', 'Cereals', 'Electrical machinery and Equipment', 'Articles of Iron & Steel']","['USA', 'China', 'Mexico', 'Brazil', 'Colombia']"
Vietnam,"['Footwear', 'Knitted Apparel', 'Electrical Machinery & Equipment', 'Machinery & Mechanical Appliances', 'Not Knitted Apparel']","['China', 'USA', 'Japan', 'South Korea', 'Germany']","['Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Plastics', 'Mineral fuels and oils', 'Iron & Steel']","['China', 'South Korea', 'Japan', 'Singapore', 'Thailand']"
